File Name,Category,Entropy_R,Corr_Horizontal_R,Corr_Vertical_R,Corr_Diagonal_R,NPCR_R (%),UACI_R (%),Entropy_G,Corr_Horizontal_G,Corr_Vertical_G,Corr_Diagonal_G,NPCR_G (%),UACI_G (%),Entropy_B,Corr_Horizontal_B,Corr_Vertical_B,Corr_Diagonal_B,NPCR_B (%),UACI_B (%),Entropy,Corr_Horizontal,Corr_Vertical,Corr_Diagonal,NPCR (%),UACI (%),MSE_Dec,PSNR_Dec,Enc_Time (s),Dec_Time (s),Lossless
I79_05_04.png,medium,7.99892,-0.00356,-0.00064,-0.00216,99.00665,33.36749,7.99915,-0.0008,-0.00432,0.00179,99.01581,33.4638,7.99916,0.00049,-0.00119,0.00196,99.05497,33.42116,7.99908,-0.00129,-0.00205,0.00053,99.02581,33.41748,0.0,inf,0.4327,0.4422,True
I81_13_01.png,medium,7.99908,-0.00301,0.00444,-0.00065,99.3693,33.47673,7.9991,0.00421,0.00125,0.00252,99.40745,33.51028,7.99909,0.0011,-0.00255,0.00069,99.39728,33.42989,7.99909,0.00077,0.00105,0.00085,99.39134,33.4723,0.0,inf,0.429,0.4399,True
I02_01_05.png,low,7.99901,-0.00309,0.00214,-0.0022,99.12109,33.49849,7.99904,0.00295,0.0007,0.00054,99.15009,33.41953,7.999,-0.00075,-0.00466,-0.00213,99.12211,33.454,7.99902,-0.0003,-0.00061,-0.00126,99.1311,33.45734,0.0,inf,0.4391,0.4368,True
I02_08_04.png,low,7.99906,-0.00153,0.00112,0.00246,99.04683,33.47302,7.99914,-0.00039,-0.00094,-0.0003,99.07481,33.38309,7.9992,-0.00354,-0.00689,0.00079,99.02802,33.36677,7.99913,-0.00182,-0.00224,0.00098,99.04989,33.40763,0.0,inf,0.4654,0.4378,True
I05_03_05.png,low,7.9991,0.00204,0.00326,3e-05,99.08854,33.39272,7.99894,-0.00018,0.00254,-0.00273,99.07939,33.41583,7.99902,0.00141,0.00338,-0.00214,99.08752,33.58372,7.99902,0.00109,0.00306,-0.00161,99.08515,33.46409,0.0,inf,0.4524,0.4372,True
I08_04_04.png,low,7.99919,0.00098,-0.00024,0.0009,99.15975,33.52168,7.9991,-0.00224,-0.00082,-0.00333,99.17043,33.43978,7.99923,0.00225,-0.00052,0.00469,99.15314,33.44583,7.99917,0.00033,-0.00053,0.00075,99.16111,33.46909,0.0,inf,0.4213,0.4303,True
I10_01_04.png,low,7.99907,0.0007,-0.00064,0.00182,99.19637,33.42977,7.9992,0.00097,-0.00082,0.00046,99.17501,33.46798,7.99915,-0.00114,0.00503,0.00359,99.15466,33.40109,7.99914,0.00018,0.00119,0.00196,99.17535,33.43295,0.0,inf,0.4328,0.4357,True
I11_02_04.png,low,7.99915,0.00393,-0.00256,-0.00194,99.2452,33.4825,7.99919,-0.0012,0.00253,-0.00088,99.24316,33.49983,7.99913,0.0026,0.00135,0.00423,99.22536,33.47099,7.99916,0.00177,0.00044,0.00047,99.23791,33.48444,0.0,inf,0.4226,0.4433,True
I18_07_02.png,low,7.99906,-0.00204,-0.00126,-0.00026,98.87899,33.48035,7.99906,-0.00113,0.00195,-0.00085,98.88,33.46875,7.99904,0.00045,-0.00073,0.00332,98.87441,33.4663,7.99905,-0.00091,-1e-05,0.00074,98.8778,33.4718,0.0,inf,0.4346,0.4317,True
I18_12_05.png,low,7.99919,0.00198,0.00055,0.0021,99.22485,33.49937,7.99913,-0.00155,-0.00064,0.00037,99.23655,33.3236,7.99893,0.00158,-0.00207,0.00181,99.24927,33.38409,7.99909,0.00067,-0.00072,0.00143,99.23689,33.40236,0.0,inf,0.4378,0.4427,True
I20_13_04.png,low,7.99908,0.00067,0.00086,0.00233,98.90798,33.48725,7.99902,-0.00058,-0.00015,-0.00258,98.9212,33.482,7.9992,9e-05,-0.00155,0.00092,98.88306,33.57882,7.9991,6e-05,-0.00028,0.00022,98.90408,33.51602,0.0,inf,0.4292,0.4287,True
I21_04_04.png,low,7.99909,-0.00022,-0.00106,-0.00194,99.01988,33.36579,7.9992,0.00135,-0.00237,-0.00017,98.9741,33.43418,7.99906,-0.00116,-0.00196,-0.0003,98.95833,33.59813,7.99912,-1e-05,-0.0018,-0.0008,98.9841,33.46603,0.0,inf,0.4434,0.4479,True
I27_21_05.png,low,7.99922,0.00427,-0.00144,0.00239,98.78693,33.46398,7.99915,0.00341,-0.00078,-0.00091,98.84389,33.41786,7.99881,-0.00374,-0.0011,0.00129,98.83219,33.46657,7.99906,0.00131,-0.00111,0.00092,98.821,33.44947,0.0,inf,0.4228,0.4327,True
I29_03_05.png,low,7.99904,-0.00217,-0.0024,0.00126,99.07125,33.39426,7.99908,0.00212,-0.00066,0.00082,99.1272,33.41737,7.99911,0.00656,0.00017,0.0026,99.09821,33.43814,7.99908,0.00217,-0.00096,0.00156,99.09888,33.41659,0.0,inf,0.425,0.4335,True
I33_14_03.png,low,7.9991,0.00141,0.00208,0.00094,98.92832,33.44761,7.99905,0.00122,0.00134,0.00109,98.89933,33.39183,7.99901,-0.00724,-0.00048,0.00235,98.93087,33.46628,7.99905,-0.00154,0.00098,0.00146,98.91951,33.43524,0.0,inf,0.4348,0.4248,True
I39_21_03.png,low,7.99907,-0.00038,0.00199,0.00402,99.40186,33.42659,7.99909,0.00061,0.00015,-0.00224,99.47611,33.49468,7.9992,0.0011,-0.00169,-0.00147,99.43237,33.52095,7.99912,0.00044,0.00015,0.0001,99.43678,33.48074,0.0,inf,0.4344,0.4317,True
I40_19_05.png,low,7.99903,0.00315,-0.00109,0.00332,99.10583,33.48711,7.99903,0.00167,0.00313,0.00049,99.08854,33.40082,7.99908,-0.00039,-0.00203,-0.00021,99.14551,33.50117,7.99905,0.00148,0.0,0.0012,99.11329,33.46303,0.0,inf,0.4317,0.4364,True
I41_02_05.png,low,7.99919,0.00165,-0.00355,0.00052,99.65719,33.49727,7.99905,0.00068,-0.00148,-0.00093,99.64905,33.50376,7.99906,0.00138,0.00261,0.00211,99.66736,33.44831,7.9991,0.00124,-0.00081,0.00057,99.65786,33.48311,0.0,inf,0.426,0.4305,True
I41_16_04.png,low,7.99898,-0.00129,-0.0018,0.00454,98.909,33.50343,7.999,0.00271,-0.00201,0.00299,98.84898,33.52038,7.99901,-0.00216,0.00094,-0.0011,98.85356,33.45792,7.999,-0.00025,-0.00096,0.00214,98.87051,33.49391,0.0,inf,0.4336,0.4347,True
I44_03_05.png,low,7.99899,0.0022,-0.00119,0.00357,99.18925,33.39531,7.9991,0.00272,-0.00234,0.00286,99.20858,33.45887,7.99919,-0.00013,0.00331,0.00063,99.24164,33.51268,7.99909,0.0016,-7e-05,0.00235,99.21316,33.45562,0.0,inf,0.4395,0.4301,True
I44_15_03.png,low,7.9991,0.00106,0.00296,-0.00125,99.0392,33.40248,7.99904,0.00261,-0.0006,0.00166,99.01835,33.47192,7.99906,0.0001,0.00197,0.00213,99.05548,33.4232,7.99907,0.00125,0.00144,0.00085,99.03768,33.43253,0.0,inf,0.4271,0.429,True
